Brick;Brick.EqualityContract;Brick.Date;Brick.Type;Brick.Open;Brick.High;Brick.Low;Brick.Close;Brick.TicksCount;Brick.Volume
"Brick { Date = 10/06/2024 11:14:20, Type = Up, Open = 121145, High = 121195, Low = 121140, Close = 121195, TicksCount = 6342, Volume = 23031 }";Application.Range.Brick;"10/06/2024 11:14:20";Up;121145;121195;121140;121195;6342;23031
"Brick { Date = 10/06/2024 11:14:12, Type = Down, Open = 121195, High = 121195, Low = 121145, Close = 121145, TicksCount = 2209, Volume = 8401 }";Application.Range.Brick;"10/06/2024 11:14:12";Down;121195;121195;121145;121145;2209;8401
"Brick { Date = 10/06/2024 10:07:26, Type = Up, Open = 120595, High = 120645, Low = 120590, Close = 120645, TicksCount = 3465, Volume = 12584 }";Application.Range.Brick;"10/06/2024 10:07:26";Up;120595;120645;120590;120645;3465;12584
"Brick { Date = 10/06/2024 10:07:11, Type = Down, Open = 120645, High = 120655, Low = 120595, Close = 120595, TicksCount = 5810, Volume = 20783 }";Application.Range.Brick;"10/06/2024 10:07:11";Down;120645;120655;120595;120595;5810;20783
"Brick { Date = 10/06/2024 10:07:00, Type = Up, Open = 120595, High = 120645, Low = 120585, Close = 120645, TicksCount = 8581, Volume = 29846 }";Application.Range.Brick;"10/06/2024 10:07:00";Up;120595;120645;120585;120645;8581;29846
"Brick { Date = 10/06/2024 10:06:52, Type = Down, Open = 120645, High = 120660, Low = 120595, Close = 120595, TicksCount = 8964, Volume = 35785 }";Application.Range.Brick;"10/06/2024 10:06:52";Down;120645;120660;120595;120595;8964;35785
"Brick { Date = 10/06/2024 10:06:35, Type = Down, Open = 120695, High = 120715, Low = 120645, Close = 120645, TicksCount = 13029, Volume = 48026 }";Application.Range.Brick;"10/06/2024 10:06:35";Down;120695;120715;120645;120645;13029;48026
"Brick { Date = 10/06/2024 10:05:39, Type = Down, Open = 120745, High = 120775, Low = 120695, Close = 120695, TicksCount = 26326, Volume = 94386 }";Application.Range.Brick;"10/06/2024 10:05:39";Down;120745;120775;120695;120695;26326;94386
"Brick { Date = 10/06/2024 10:05:30, Type = Down, Open = 120795, High = 120805, Low = 120745, Close = 120745, TicksCount = 8843, Volume = 29116 }";Application.Range.Brick;"10/06/2024 10:05:30";Down;120795;120805;120745;120745;8843;29116
"Brick { Date = 10/06/2024 10:05:25, Type = Down, Open = 120845, High = 120850, Low = 120795, Close = 120795, TicksCount = 9594, Volume = 33555 }";Application.Range.Brick;"10/06/2024 10:05:25";Down;120845;120850;120795;120795;9594;33555
"Brick { Date = 10/06/2024 10:04:50, Type = Down, Open = 120895, High = 120915, Low = 120845, Close = 120845, TicksCount = 9499, Volume = 30987 }";Application.Range.Brick;"10/06/2024 10:04:50";Down;120895;120915;120845;120845;9499;30987
"Brick { Date = 10/06/2024 10:04:45, Type = Down, Open = 120945, High = 120945, Low = 120895, Close = 120895, TicksCount = 1729, Volume = 6159 }";Application.Range.Brick;"10/06/2024 10:04:45";Down;120945;120945;120895;120895;1729;6159
"Brick { Date = 10/06/2024 10:04:22, Type = Up, Open = 120895, High = 120945, Low = 120880, Close = 120945, TicksCount = 8453, Volume = 27717 }";Application.Range.Brick;"10/06/2024 10:04:22";Up;120895;120945;120880;120945;8453;27717
"Brick { Date = 10/06/2024 10:03:47, Type = Down, Open = 120945, High = 120965, Low = 120895, Close = 120895, TicksCount = 9738, Volume = 36348 }";Application.Range.Brick;"10/06/2024 10:03:47";Down;120945;120965;120895;120895;9738;36348
"Brick { Date = 10/06/2024 10:00:38, Type = Down, Open = 120995, High = 121040, Low = 120945, Close = 120945, TicksCount = 30895, Volume = 114783 }";Application.Range.Brick;"10/06/2024 10:00:38";Down;120995;121040;120945;120945;30895;114783
"Brick { Date = 10/06/2024 10:00:22, Type = Up, Open = 120945, High = 120995, Low = 120925, Close = 120995, TicksCount = 8737, Volume = 30778 }";Application.Range.Brick;"10/06/2024 10:00:22";Up;120945;120995;120925;120995;8737;30778
"Brick { Date = 10/06/2024 10:00:01, Type = Down, Open = 120995, High = 121000, Low = 120945, Close = 120945, TicksCount = 6342, Volume = 22652 }";Application.Range.Brick;"10/06/2024 10:00:01";Down;120995;121000;120945;120945;6342;22652
"Brick { Date = 10/06/2024 09:59:10, Type = Down, Open = 121045, High = 121065, Low = 120995, Close = 120995, TicksCount = 16737, Volume = 56911 }";Application.Range.Brick;"10/06/2024 09:59:10";Down;121045;121065;120995;120995;16737;56911
"Brick { Date = 10/06/2024 09:51:59, Type = Up, Open = 120995, High = 121045, Low = 120950, Close = 121045, TicksCount = 53602, Volume = 187334 }";Application.Range.Brick;"10/06/2024 09:51:59";Up;120995;121045;120950;121045;53602;187334
"Brick { Date = 10/06/2024 09:51:41, Type = Up, Open = 120945, High = 120995, Low = 120925, Close = 120995, TicksCount = 8005, Volume = 28481 }";Application.Range.Brick;"10/06/2024 09:51:41";Up;120945;120995;120925;120995;8005;28481
"Brick { Date = 10/06/2024 09:50:38, Type = Up, Open = 120895, High = 120945, Low = 120850, Close = 120945, TicksCount = 23832, Volume = 87247 }";Application.Range.Brick;"10/06/2024 09:50:38";Up;120895;120945;120850;120945;23832;87247
"Brick { Date = 10/06/2024 09:50:07, Type = Down, Open = 120945, High = 120950, Low = 120895, Close = 120895, TicksCount = 10141, Volume = 33930 }";Application.Range.Brick;"10/06/2024 09:50:07";Down;120945;120950;120895;120895;10141;33930
"Brick { Date = 10/06/2024 09:45:52, Type = Down, Open = 120995, High = 121035, Low = 120945, Close = 120945, TicksCount = 35638, Volume = 130791 }";Application.Range.Brick;"10/06/2024 09:45:52";Down;120995;121035;120945;120945;35638;130791
"Brick { Date = 10/06/2024 10:07:36, Type = Down, Open = 120645, High = 120675, Low = 120595, Close = 120595, TicksCount = 12810, Volume = 52001 }";Application.Range.Brick;"10/06/2024 10:07:36";Down;120645;120675;120595;120595;12810;52001
"Brick { Date = 10/06/2024 09:44:58, Type = Down, Open = 121045, High = 121050, Low = 120995, Close = 120995, TicksCount = 14387, Volume = 49539 }";Application.Range.Brick;"10/06/2024 09:44:58";Down;121045;121050;120995;120995;14387;49539
"Brick { Date = 10/06/2024 10:08:13, Type = Down, Open = 120595, High = 120625, Low = 120545, Close = 120545, TicksCount = 17105, Volume = 66834 }";Application.Range.Brick;"10/06/2024 10:08:13";Down;120595;120625;120545;120545;17105;66834
"Brick { Date = 10/06/2024 10:09:22, Type = Down, Open = 120595, High = 120605, Low = 120545, Close = 120545, TicksCount = 3784, Volume = 14475 }";Application.Range.Brick;"10/06/2024 10:09:22";Down;120595;120605;120545;120545;3784;14475
"Brick { Date = 10/06/2024 10:18:40, Type = Up, Open = 120745, High = 120795, Low = 120720, Close = 120795, TicksCount = 6066, Volume = 20682 }";Application.Range.Brick;"10/06/2024 10:18:40";Up;120745;120795;120720;120795;6066;20682
"Brick { Date = 10/06/2024 10:18:12, Type = Up, Open = 120695, High = 120745, Low = 120660, Close = 120745, TicksCount = 8413, Volume = 30001 }";Application.Range.Brick;"10/06/2024 10:18:12";Up;120695;120745;120660;120745;8413;30001
"Brick { Date = 10/06/2024 10:17:43, Type = Up, Open = 120645, High = 120695, Low = 120635, Close = 120695, TicksCount = 8789, Volume = 31522 }";Application.Range.Brick;"10/06/2024 10:17:43";Up;120645;120695;120635;120695;8789;31522
"Brick { Date = 10/06/2024 10:17:34, Type = Up, Open = 120595, High = 120645, Low = 120575, Close = 120645, TicksCount = 3150, Volume = 10659 }";Application.Range.Brick;"10/06/2024 10:17:34";Up;120595;120645;120575;120645;3150;10659
"Brick { Date = 10/06/2024 10:17:30, Type = Up, Open = 120545, High = 120595, Low = 120545, Close = 120595, TicksCount = 1391, Volume = 5378 }";Application.Range.Brick;"10/06/2024 10:17:30";Up;120545;120595;120545;120595;1391;5378
"Brick { Date = 10/06/2024 10:16:51, Type = Down, Open = 120595, High = 120615, Low = 120545, Close = 120545, TicksCount = 9679, Volume = 34529 }";Application.Range.Brick;"10/06/2024 10:16:51";Down;120595;120615;120545;120545;9679;34529
"Brick { Date = 10/06/2024 10:16:44, Type = Up, Open = 120545, High = 120595, Low = 120545, Close = 120595, TicksCount = 3328, Volume = 12545 }";Application.Range.Brick;"10/06/2024 10:16:44";Up;120545;120595;120545;120595;3328;12545
"Brick { Date = 10/06/2024 10:16:34, Type = Down, Open = 120595, High = 120605, Low = 120545, Close = 120545, TicksCount = 6360, Volume = 23557 }";Application.Range.Brick;"10/06/2024 10:16:34";Down;120595;120605;120545;120545;6360;23557
"Brick { Date = 10/06/2024 10:16:15, Type = Down, Open = 120645, High = 120675, Low = 120595, Close = 120595, TicksCount = 7096, Volume = 25089 }";Application.Range.Brick;"10/06/2024 10:16:15";Down;120645;120675;120595;120595;7096;25089
"Brick { Date = 10/06/2024 10:15:33, Type = Down, Open = 120695, High = 120725, Low = 120645, Close = 120645, TicksCount = 14798, Volume = 52095 }";Application.Range.Brick;"10/06/2024 10:15:33";Down;120695;120725;120645;120645;14798;52095
"Brick { Date = 10/06/2024 10:15:23, Type = Up, Open = 120645, High = 120695, Low = 120640, Close = 120695, TicksCount = 5975, Volume = 22794 }";Application.Range.Brick;"10/06/2024 10:15:23";Up;120645;120695;120640;120695;5975;22794
"Brick { Date = 10/06/2024 10:15:01, Type = Up, Open = 120595, High = 120645, Low = 120575, Close = 120645, TicksCount = 8992, Volume = 33497 }";Application.Range.Brick;"10/06/2024 10:15:01";Up;120595;120645;120575;120645;8992;33497
"Brick { Date = 10/06/2024 10:14:42, Type = Up, Open = 120545, High = 120595, Low = 120520, Close = 120595, TicksCount = 13789, Volume = 56294 }";Application.Range.Brick;"10/06/2024 10:14:42";Up;120545;120595;120520;120595;13789;56294
"Brick { Date = 10/06/2024 10:14:38, Type = Down, Open = 120595, High = 120610, Low = 120545, Close = 120545, TicksCount = 5847, Volume = 19192 }";Application.Range.Brick;"10/06/2024 10:14:38";Down;120595;120610;120545;120545;5847;19192
"Brick { Date = 10/06/2024 10:14:00, Type = Down, Open = 120645, High = 120690, Low = 120595, Close = 120595, TicksCount = 16773, Volume = 59479 }";Application.Range.Brick;"10/06/2024 10:14:00";Down;120645;120690;120595;120595;16773;59479
"Brick { Date = 10/06/2024 10:13:51, Type = Down, Open = 120695, High = 120720, Low = 120645, Close = 120645, TicksCount = 4655, Volume = 18142 }";Application.Range.Brick;"10/06/2024 10:13:51";Down;120695;120720;120645;120645;4655;18142
"Brick { Date = 10/06/2024 10:13:22, Type = Down, Open = 120745, High = 120750, Low = 120695, Close = 120695, TicksCount = 7010, Volume = 25127 }";Application.Range.Brick;"10/06/2024 10:13:22";Down;120745;120750;120695;120695;7010;25127
"Brick { Date = 10/06/2024 10:12:09, Type = Up, Open = 120695, High = 120745, Low = 120660, Close = 120745, TicksCount = 16125, Volume = 57249 }";Application.Range.Brick;"10/06/2024 10:12:09";Up;120695;120745;120660;120745;16125;57249
"Brick { Date = 10/06/2024 10:10:52, Type = Up, Open = 120645, High = 120695, Low = 120615, Close = 120695, TicksCount = 24577, Volume = 92033 }";Application.Range.Brick;"10/06/2024 10:10:52";Up;120645;120695;120615;120695;24577;92033
"Brick { Date = 10/06/2024 10:10:15, Type = Up, Open = 120595, High = 120645, Low = 120560, Close = 120645, TicksCount = 11168, Volume = 38922 }";Application.Range.Brick;"10/06/2024 10:10:15";Up;120595;120645;120560;120645;11168;38922
"Brick { Date = 10/06/2024 10:09:33, Type = Up, Open = 120545, High = 120595, Low = 120515, Close = 120595, TicksCount = 13620, Volume = 51010 }";Application.Range.Brick;"10/06/2024 10:09:33";Up;120545;120595;120515;120595;13620;51010
"Brick { Date = 10/06/2024 10:09:05, Type = Up, Open = 120545, High = 120595, Low = 120535, Close = 120595, TicksCount = 6517, Volume = 24380 }";Application.Range.Brick;"10/06/2024 10:09:05";Up;120545;120595;120535;120595;6517;24380
"Brick { Date = 10/06/2024 09:37:00, Type = Down, Open = 121095, High = 121130, Low = 121045, Close = 121045, TicksCount = 49228, Volume = 167784 }";Application.Range.Brick;"10/06/2024 09:37:00";Down;121095;121130;121045;121045;49228;167784
"Brick { Date = 10/06/2024 09:34:26, Type = Down, Open = 121145, High = 121185, Low = 121095, Close = 121095, TicksCount = 22687, Volume = 76149 }";Application.Range.Brick;"10/06/2024 09:34:26";Down;121145;121185;121095;121095;22687;76149
"Brick { Date = 10/06/2024 09:33:20, Type = Up, Open = 121095, High = 121145, Low = 121090, Close = 121145, TicksCount = 10823, Volume = 36640 }";Application.Range.Brick;"10/06/2024 09:33:20";Up;121095;121145;121090;121145;10823;36640
"Brick { Date = 10/06/2024 09:03:21, Type = Down, Open = 121345, High = 121385, Low = 121295, Close = 121295, TicksCount = 7935, Volume = 23573 }";Application.Range.Brick;"10/06/2024 09:03:21";Down;121345;121385;121295;121295;7935;23573
"Brick { Date = 10/06/2024 09:03:06, Type = Up, Open = 121295, High = 121345, Low = 121285, Close = 121345, TicksCount = 6732, Volume = 20338 }";Application.Range.Brick;"10/06/2024 09:03:06";Up;121295;121345;121285;121345;6732;20338
"Brick { Date = 10/06/2024 09:02:43, Type = Up, Open = 121245, High = 121295, Low = 121205, Close = 121295, TicksCount = 6939, Volume = 19025 }";Application.Range.Brick;"10/06/2024 09:02:43";Up;121245;121295;121205;121295;6939;19025
"Brick { Date = 10/06/2024 09:02:36, Type = Up, Open = 121195, High = 121245, Low = 121160, Close = 121245, TicksCount = 5167, Volume = 18161 }";Application.Range.Brick;"10/06/2024 09:02:36";Up;121195;121245;121160;121245;5167;18161
"Brick { Date = 10/06/2024 09:02:35, Type = Down, Open = 121245, High = 121255, Low = 121195, Close = 121195, TicksCount = 1978, Volume = 5478 }";Application.Range.Brick;"10/06/2024 09:02:35";Down;121245;121255;121195;121195;1978;5478
"Brick { Date = 10/06/2024 09:02:24, Type = Down, Open = 121295, High = 121325, Low = 121245, Close = 121245, TicksCount = 4787, Volume = 19113 }";Application.Range.Brick;"10/06/2024 09:02:24";Down;121295;121325;121245;121245;4787;19113
"Brick { Date = 10/06/2024 09:02:19, Type = Down, Open = 121345, High = 121350, Low = 121295, Close = 121295, TicksCount = 2518, Volume = 8639 }";Application.Range.Brick;"10/06/2024 09:02:19";Down;121345;121350;121295;121295;2518;8639
"Brick { Date = 10/06/2024 09:01:59, Type = Up, Open = 121295, High = 121345, Low = 121275, Close = 121345, TicksCount = 10738, Volume = 31984 }";Application.Range.Brick;"10/06/2024 09:01:59";Up;121295;121345;121275;121345;10738;31984
"Brick { Date = 10/06/2024 09:01:58, Type = Up, Open = 121245, High = 121295, Low = 121230, Close = 121295, TicksCount = 1490, Volume = 4354 }";Application.Range.Brick;"10/06/2024 09:01:58";Up;121245;121295;121230;121295;1490;4354
"Brick { Date = 10/06/2024 09:01:53, Type = Up, Open = 121195, High = 121245, Low = 121165, Close = 121245, TicksCount = 3770, Volume = 12935 }";Application.Range.Brick;"10/06/2024 09:01:53";Up;121195;121245;121165;121245;3770;12935
"Brick { Date = 10/06/2024 09:01:21, Type = Up, Open = 121145, High = 121195, Low = 121110, Close = 121195, TicksCount = 19120, Volume = 60904 }";Application.Range.Brick;"10/06/2024 09:01:21";Up;121145;121195;121110;121195;19120;60904
"Brick { Date = 10/06/2024 09:01:20, Type = Up, Open = 121095, High = 121145, Low = 121090, Close = 121145, TicksCount = 1255, Volume = 3986 }";Application.Range.Brick;"10/06/2024 09:01:20";Up;121095;121145;121090;121145;1255;3986
"Brick { Date = 10/06/2024 09:01:15, Type = Up, Open = 121045, High = 121095, Low = 121015, Close = 121095, TicksCount = 5847, Volume = 18863 }";Application.Range.Brick;"10/06/2024 09:01:15";Up;121045;121095;121015;121095;5847;18863
"Brick { Date = 10/06/2024 09:01:14, Type = Up, Open = 120995, High = 121045, Low = 120980, Close = 121045, TicksCount = 2371, Volume = 7975 }";Application.Range.Brick;"10/06/2024 09:01:14";Up;120995;121045;120980;121045;2371;7975
"Brick { Date = 10/06/2024 09:01:11, Type = Up, Open = 120945, High = 120995, Low = 120935, Close = 120995, TicksCount = 3878, Volume = 12275 }";Application.Range.Brick;"10/06/2024 09:01:11";Up;120945;120995;120935;120995;3878;12275
"Brick { Date = 10/06/2024 09:01:06, Type = Up, Open = 120895, High = 120945, Low = 120870, Close = 120945, TicksCount = 5284, Volume = 16161 }";Application.Range.Brick;"10/06/2024 09:01:06";Up;120895;120945;120870;120945;5284;16161
"Brick { Date = 10/06/2024 09:01:04, Type = Up, Open = 120845, High = 120895, Low = 120810, Close = 120895, TicksCount = 2079, Volume = 7530 }";Application.Range.Brick;"10/06/2024 09:01:04";Up;120845;120895;120810;120895;2079;7530
"Brick { Date = 10/06/2024 09:01:02, Type = Down, Open = 120895, High = 120925, Low = 120845, Close = 120845, TicksCount = 3991, Volume = 13058 }";Application.Range.Brick;"10/06/2024 09:01:02";Down;120895;120925;120845;120845;3991;13058
"Brick { Date = 10/06/2024 09:01:00, Type = Up, Open = 120845, High = 120895, Low = 120835, Close = 120895, TicksCount = 1435, Volume = 4743 }";Application.Range.Brick;"10/06/2024 09:01:00";Up;120845;120895;120835;120895;1435;4743
"Brick { Date = 10/06/2024 09:01:00, Type = Up, Open = 120795, High = 120845, Low = 120780, Close = 120845, TicksCount = 1069, Volume = 4238 }";Application.Range.Brick;"10/06/2024 09:01:00";Up;120795;120845;120780;120845;1069;4238
"Brick { Date = 10/06/2024 09:00:59, Type = Up, Open = 120745, High = 120795, Low = 120715, Close = 120795, TicksCount = 533, Volume = 1730 }";Application.Range.Brick;"10/06/2024 09:00:59";Up;120745;120795;120715;120795;533;1730
"Brick { Date = 10/06/2024 09:03:40, Type = Up, Open = 121295, High = 121345, Low = 121290, Close = 121345, TicksCount = 2346, Volume = 8133 }";Application.Range.Brick;"10/06/2024 09:03:40";Up;121295;121345;121290;121345;2346;8133
"Brick { Date = 10/06/2024 09:03:48, Type = Down, Open = 121345, High = 121350, Low = 121295, Close = 121295, TicksCount = 1402, Volume = 4276 }";Application.Range.Brick;"10/06/2024 09:03:48";Down;121345;121350;121295;121295;1402;4276
"Brick { Date = 10/06/2024 09:03:56, Type = Down, Open = 121295, High = 121330, Low = 121245, Close = 121245, TicksCount = 24663, Volume = 78735 }";Application.Range.Brick;"10/06/2024 09:03:56";Down;121295;121330;121245;121245;24663;78735
"Brick { Date = 10/06/2024 09:06:25, Type = Up, Open = 121245, High = 121295, Low = 121200, Close = 121295, TicksCount = 18756, Volume = 64441 }";Application.Range.Brick;"10/06/2024 09:06:25";Up;121245;121295;121200;121295;18756;64441
"Brick { Date = 10/06/2024 09:33:03, Type = Up, Open = 121045, High = 121095, Low = 121045, Close = 121095, TicksCount = 5568, Volume = 20438 }";Application.Range.Brick;"10/06/2024 09:33:03";Up;121045;121095;121045;121095;5568;20438
"Brick { Date = 10/06/2024 09:32:52, Type = Down, Open = 121095, High = 121105, Low = 121045, Close = 121045, TicksCount = 7506, Volume = 24671 }";Application.Range.Brick;"10/06/2024 09:32:52";Down;121095;121105;121045;121045;7506;24671
"Brick { Date = 10/06/2024 09:30:02, Type = Down, Open = 121145, High = 121160, Low = 121095, Close = 121095, TicksCount = 30173, Volume = 102470 }";Application.Range.Brick;"10/06/2024 09:30:02";Down;121145;121160;121095;121095;30173;102470
"Brick { Date = 10/06/2024 09:27:14, Type = Down, Open = 121195, High = 121220, Low = 121145, Close = 121145, TicksCount = 16867, Volume = 54639 }";Application.Range.Brick;"10/06/2024 09:27:14";Down;121195;121220;121145;121145;16867;54639
"Brick { Date = 10/06/2024 09:26:23, Type = Down, Open = 121245, High = 121255, Low = 121195, Close = 121195, TicksCount = 7247, Volume = 22600 }";Application.Range.Brick;"10/06/2024 09:26:23";Down;121245;121255;121195;121195;7247;22600
"Brick { Date = 10/06/2024 09:23:56, Type = Up, Open = 121195, High = 121245, Low = 121150, Close = 121245, TicksCount = 28297, Volume = 92112 }";Application.Range.Brick;"10/06/2024 09:23:56";Up;121195;121245;121150;121245;28297;92112
"Brick { Date = 10/06/2024 09:22:41, Type = Down, Open = 121245, High = 121265, Low = 121195, Close = 121195, TicksCount = 10799, Volume = 33222 }";Application.Range.Brick;"10/06/2024 09:22:41";Down;121245;121265;121195;121195;10799;33222
"Brick { Date = 10/06/2024 09:20:44, Type = Down, Open = 121295, High = 121330, Low = 121245, Close = 121245, TicksCount = 25764, Volume = 82879 }";Application.Range.Brick;"10/06/2024 09:20:44";Down;121295;121330;121245;121245;25764;82879
"Brick { Date = 10/06/2024 09:20:15, Type = Up, Open = 121245, High = 121295, Low = 121235, Close = 121295, TicksCount = 6706, Volume = 21618 }";Application.Range.Brick;"10/06/2024 09:20:15";Up;121245;121295;121235;121295;6706;21618
"Brick { Date = 10/06/2024 09:19:57, Type = Up, Open = 121195, High = 121245, Low = 121185, Close = 121245, TicksCount = 2967, Volume = 8785 }";Application.Range.Brick;"10/06/2024 09:19:57";Up;121195;121245;121185;121245;2967;8785
"Brick { Date = 10/06/2024 10:18:42, Type = Down, Open = 120795, High = 120805, Low = 120745, Close = 120745, TicksCount = 15071, Volume = 57533 }";Application.Range.Brick;"10/06/2024 10:18:42";Down;120795;120805;120745;120745;15071;57533
"Brick { Date = 10/06/2024 09:18:42, Type = Down, Open = 121245, High = 121245, Low = 121195, Close = 121195, TicksCount = 5962, Volume = 17659 }";Application.Range.Brick;"10/06/2024 09:18:42";Down;121245;121245;121195;121195;5962;17659
"Brick { Date = 10/06/2024 09:15:08, Type = Down, Open = 121245, High = 121290, Low = 121195, Close = 121195, TicksCount = 18649, Volume = 60553 }";Application.Range.Brick;"10/06/2024 09:15:08";Down;121245;121290;121195;121195;18649;60553
"Brick { Date = 10/06/2024 09:14:35, Type = Up, Open = 121195, High = 121245, Low = 121195, Close = 121245, TicksCount = 6765, Volume = 21056 }";Application.Range.Brick;"10/06/2024 09:14:35";Up;121195;121245;121195;121245;6765;21056
"Brick { Date = 10/06/2024 09:13:59, Type = Down, Open = 121245, High = 121255, Low = 121195, Close = 121195, TicksCount = 8966, Volume = 29595 }";Application.Range.Brick;"10/06/2024 09:13:59";Down;121245;121255;121195;121195;8966;29595
"Brick { Date = 10/06/2024 09:10:33, Type = Down, Open = 121295, High = 121330, Low = 121245, Close = 121245, TicksCount = 23265, Volume = 82363 }";Application.Range.Brick;"10/06/2024 09:10:33";Down;121295;121330;121245;121245;23265;82363
"Brick { Date = 10/06/2024 09:10:26, Type = Up, Open = 121245, High = 121295, Low = 121245, Close = 121295, TicksCount = 1972, Volume = 6222 }";Application.Range.Brick;"10/06/2024 09:10:26";Up;121245;121295;121245;121295;1972;6222
"Brick { Date = 10/06/2024 09:09:40, Type = Down, Open = 121295, High = 121315, Low = 121245, Close = 121245, TicksCount = 10836, Volume = 36384 }";Application.Range.Brick;"10/06/2024 09:09:40";Down;121295;121315;121245;121245;10836;36384
"Brick { Date = 10/06/2024 09:08:50, Type = Down, Open = 121345, High = 121370, Low = 121295, Close = 121295, TicksCount = 8711, Volume = 25893 }";Application.Range.Brick;"10/06/2024 09:08:50";Down;121345;121370;121295;121295;8711;25893
"Brick { Date = 10/06/2024 09:08:44, Type = Down, Open = 121395, High = 121395, Low = 121345, Close = 121345, TicksCount = 2328, Volume = 7210 }";Application.Range.Brick;"10/06/2024 09:08:44";Down;121395;121395;121345;121345;2328;7210
"Brick { Date = 10/06/2024 09:08:19, Type = Up, Open = 121345, High = 121395, Low = 121315, Close = 121395, TicksCount = 9148, Volume = 28518 }";Application.Range.Brick;"10/06/2024 09:08:19";Up;121345;121395;121315;121395;9148;28518
"Brick { Date = 10/06/2024 09:08:10, Type = Up, Open = 121295, High = 121345, Low = 121290, Close = 121345, TicksCount = 4975, Volume = 15910 }";Application.Range.Brick;"10/06/2024 09:08:10";Up;121295;121345;121290;121345;4975;15910
"Brick { Date = 10/06/2024 09:16:44, Type = Up, Open = 121195, High = 121245, Low = 121165, Close = 121245, TicksCount = 21134, Volume = 64838 }";Application.Range.Brick;"10/06/2024 09:16:44";Up;121195;121245;121165;121245;21134;64838
"Brick { Date = 10/06/2024 10:19:21, Type = Down, Open = 120745, High = 120750, Low = 120695, Close = 120695, TicksCount = 4645, Volume = 16815 }";Application.Range.Brick;"10/06/2024 10:19:21";Down;120745;120750;120695;120695;4645;16815
